#DH parameters for mouth opening
theta1 d2 d3 d4

0 0.0 0.0 -0.0
0.0 0.0 0.0 -0.0
0.357574244436 0.0059 -0.2476 0.3629
0.357574244436 0.0059 -0.2476 0.3629
1.11149895688 0.0186 -0.7419 1.1106
1.12843989011 0.0189 -0.7525 1.127
2.01102371186 0.0331 -1.2528 1.9367
2.01102371186 0.0331 -1.2528 1.9367
2.95435882504 0.046 -1.6885 2.6903
2.95435882504 0.046 -1.6885 2.6903
3.88820039416 -0.0175 -2.0493 3.3527
3.88820039416 -0.0175 -2.0493 3.3527
4.78389513718 -0.0778 -2.3052 3.8481
4.78389513718 -0.0778 -2.3052 3.8481
5.62103295971 -0.0834 -2.454 4.1443
5.62103295971 -0.0834 -2.454 4.1443
6.39430905237 -0.0865 -2.532 4.3053
6.39430905237 -0.0865 -2.532 4.3053
7.10894046937 -0.0879 -2.5674 4.3797
7.10894046937 -0.0879 -2.5674 4.3797
7.77911621342 -0.0883 -2.5779 4.4018
7.77911621342 -0.0883 -2.5779 4.4018
8.41428326311 -0.0883 -2.5773 4.4005
8.41428326311 -0.0883 -2.5773 4.4005
9.0225162316 -0.0882 -2.5762 4.3981
9.0225162316 -0.0882 -2.5762 4.3981
9.610173243 -0.0884 -2.5816 4.4094
9.610173243 -0.0884 -2.5816 4.4094
10.1795799031 -0.0891 -2.5972 4.4423
10.1795799031 -0.0891 -2.5972 4.4423
10.7356571651 -0.0902 -2.6264 4.5037
10.7356571651 -0.0902 -2.6264 4.5037
11.2815369766 -0.0919 -2.6703 4.5962
11.2815369766 -0.0919 -2.6703 4.5962
11.8023464399 -0.094 -2.7217 4.7046
11.8023464399 -0.094 -2.7217 4.7046
12.2901565264 -0.096 -2.7743 4.8164
12.2901565264 -0.096 -2.7743 4.8164
12.7724377549 -0.0991 -2.8482 4.9818
12.7724377549 -0.0991 -2.8482 4.9818
13.2480362295 -0.1026 -2.9335 5.1726
13.2480362295 -0.1026 -2.9335 5.1726
13.6846712816 -0.1056 -3.0074 5.338
13.6846712816 -0.1056 -3.0074 5.338
14.0915720937 -0.0872 -3.0734 5.491
14.0915720937 -0.0872 -3.0734 5.491
14.5198951442 -0.1105 -3.188 5.764
14.5198951442 -0.1105 -3.188 5.764
14.9221641842 -0.0353 -3.281 5.9853
14.9221641842 -0.0353 -3.281 5.9853
15.3308683744 0.0429 -3.3883 6.2568
15.3308683744 0.0429 -3.3883 6.2568
15.7545975606 0.0705 -3.53 6.6176
15.7545975606 0.0705 -3.53 6.6176
16.1874944191 0.0605 -3.6842 7.0363
16.1874944191 0.0605 -3.6842 7.0363
16.6038204895 0.0314 -3.8291 7.4463
16.6038204895 0.0314 -3.8291 7.4463
16.9882614299 -0.0296 -3.9599 7.8296
16.9882614299 -0.0296 -3.9599 7.8296
17.3199649612 -0.1352 -4.0684 8.1698
17.3199649612 -0.1352 -4.0684 8.1698
17.5147587533 -0.1568 -4.1032 8.2787
17.5147587533 -0.1568 -4.1032 8.2787
17.5525974905 -0.1547 -4.0632 8.1533
17.5525974905 -0.1547 -4.0632 8.1533
17.4455743068 -0.1495 -3.9659 7.8483
17.4455743068 -0.1495 -3.9659 7.8483
17.2080637389 -0.1417 -3.8112 7.3939
17.2080637389 -0.1417 -3.8112 7.3939
16.870769397 -0.1319 -3.61 6.8341
16.870769397 -0.1319 -3.61 6.8341
16.481042004 -0.1214 -3.3819 6.2393
16.481042004 -0.1214 -3.3819 6.2393
16.0746405124 -0.1111 -3.1469 5.6647
16.0746405124 -0.1111 -3.1469 5.6647
15.6498341282 -0.1011 -2.9098 5.118
15.6498341282 -0.1011 -2.9098 5.118
15.2062541258 -0.0914 -2.672 4.5977
15.2062541258 -0.0914 -2.672 4.5977
14.7578813749 -0.0822 -2.4366 4.1065
14.7578813749 -0.0822 -2.4366 4.1065
14.3095238261 -0.0733 -2.2023 3.6398
14.3095238261 -0.0733 -2.2023 3.6398
13.8635495182 -0.0648 -1.9694 3.1985
13.8635495182 -0.0648 -1.9694 3.1985
13.4189455241 -0.0566 -1.7392 2.7766
13.4189455241 -0.0566 -1.7392 2.7766
12.9554877507 -0.0481 -1.4973 2.3472
12.9554877507 -0.0481 -1.4973 2.3472
12.3438057674 -0.0357 -1.1307 1.7284
12.3438057674 -0.0357 -1.1307 1.7284
11.4089506139 -0.0141 -0.4634 0.6773
11.4089506139 -0.0141 -0.4634 0.6773
10.3027867573 0.0004 0.0057 -0.0147
10.3027867573 0.0004 0.0057 -0.0147
9.13945863584 0.0004 0.0055 -0.0147
9.13945863584 0.0004 0.0055 -0.0147
8.07213868911 0.0003 0.0053 -0.0146
8.07213868911 0.0003 0.0053 -0.0146
7.19517231917 0.0003 0.0052 -0.0146
7.19517231917 0.0003 0.0052 -0.0146
6.36862491148 0.0003 0.0052 -0.0145
6.36862491148 0.0003 0.0052 -0.0145
5.46057528636 0.0002 0.0051 -0.0145
5.46057528636 0.0002 0.0051 -0.0145
4.35641224335 0.0002 0.0049 -0.0144
4.35641224335 0.0002 0.0049 -0.0144
2.93188528466 0.0001 0.0047 -0.0142
2.93188528466 0.0001 0.0047 -0.0142
1.01922796292 0.0 0.0043 -0.0137
1.01922796292 0.0 0.0043 -0.0137
0.0228151000056 -0.0007 -0.0026 -0.0039
0.0228151000056 -0.0007 -0.0026 -0.0039
0.0228151000056 -0.0007 -0.0026 -0.0039
0.0228151000056 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
0.0228151000056 -0.0007 -0.0026 -0.0039
0.0228151000056 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
0.0228150999737 -0.0007 -0.0026 -0.0039
